Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
82073,59006162020450,April,CA,2392.5311,115.0,15,42,2,,29,2,1,0,0,"Foreign Born, US Cit By Naturalization",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,7.666666666666667,2.03688192726104
82515,108720660280005,April,CO,1736.1399,423.07,40,39,1,,55,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,10.57675,2.35865819587484
82973,969020689810920,April,CT,1283.4565,325.47,19,44,1,,61,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,17.130000000000003,2.8408313123360287
82994,27690690959096,April,CT,1181.0914,414.0,40,39,2,,62,2,7,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,10.35,2.336986519711378
83103,440594092006359,April,CT,1471.2886,900.0,45,40,1,,47,2,5,0,0,"Native, Born In US",1,"Other schools, instruction, and educational services (6116, 6117)",2540,"Private, Nonprofit",Yes,,Employed-Absent,1,20.0,2.995732273553991
83183,746049889069100,April,CT,1339.8633,320.0,35,43,1,,38,2,1,2,3,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,9.142857142857142,2.2129729343043585
83185,754039866029210,April,CT,1327.1045,562.24,32,40,1,,43,2,1,3,10,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,17.57,2.866192902199006
83262,989400364410720,April,CT,1465.2127,360.0,30,39,1,,38,2,1,2,10,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,12.0,2.4849066497880004
83395,14491600118006,April,DE,447.6169,376.25,35,43,1,,25,2,7,1,2,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",2540,Government - State,No,No,Employed-At Work,1,10.75,2.3749057545736716
83510,41031200786989,April,DE,732.3328,769.23,40,39,2,4.0,43,2,1,1,4,"Foreign Born, US Cit By Naturalization",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,19.23075,2.9565105604002095
83916,178992106057109,April,DC,504.5688,365.0,40,40,2,,25,2,7,1,2,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,9.125,2.211017899468555
84080,720014075512529,April,DC,340.5817,533.33,20,43,4,,24,2,7,0,0,"Foreign Born, Not a US Citizen",5,"Colleges and universities, including junior colleges (6112, 6113)",2540,"Private, Nonprofit",No,No,Employed-At Work,1,26.666500000000003,3.283408095986241
84405,1961220691695,April,FL,3265.7526,500.0,35,39,1,,52,2,1,1,4,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,14.285714285714286,2.659260036932778
85429,162912702097359,April,GA,3054.6901,380.0,40,42,1,,41,2,1,2,10,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,9.5,2.2512917986064953
85798,402902151992243,April,GA,3520.5108,500.0,40,42,2,,30,2,7,0,0,"Native, Born In US",5,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,12.5,2.5257286443082556
85809,525196059300955,April,GA,3836.1435,369.0,42,39,1,,23,2,5,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,8.785714285714286,2.173127025757159
